ID;Datetime;Likes;Content
1593170950903992320;2022-11-17 09:15:29+00:00;201;Terima kasih teman2 Demokrat Banyuwangi atas semangat dan kepeduliannya. Semoga bantuan fisik dan moril yang diberikan, dapat bermanfaat dan meningkatkan keyakinan mereka bahwa bencana di Kalibaru akan segera berlalu. Semoga semuanya dalam keadaan sehat. Aamiin https://t.co/t1ZFTwZ0ER
1593080577112276997;2022-11-17 03:16:22+00:00;80;Terima kasih teman2 Demokrat Kab.Tangerang atas kesigapan dan kepeduliannya utk para korban banjir. Semoga bermanfaat dan dapat meringankan beban mereka. Saya turut mendoakan agar banjir segera surut dan dapat kembali beraktivitas. Aamiin https://t.co/7Wap6mkLV7
1592847872726568960;2022-11-16 11:51:41+00:00;153;Terima kasih Mas Agung, semoga bantuan yang disalurkan ini dapat bermanfaat bagi warga setempat. Salam saya untuk warga di Tengkareng Utara. 🙏🏻 https://t.co/FXgi4DulZT
1592795168989933569;2022-11-16 08:22:15+00:00;362;"Saat di Jogja, saya berdialog dgn bbrp komponen masyarakat, salah satunya perwakilan kaum buruh, beliau adl Ketua Serikat Buruh Sejahtera Indonesia (SBSI). Insya allah, @PDemokrat akan terus memperjuangkan harapan masyarakat.

https://t.co/ny34rpVKt8"
1592473180341686272;2022-11-15 11:02:47+00:00;83;Saya yakin dan percaya, dibawah pembinaan Ketum @SrikandiPD @AnnisaPohan dan dengan pengarahan dari Ketua Srikandi Demokrat Jatim Mba Arumi Bachsin, Srikandi Jatim akan menjadi sumber kekuatan yang dahsyat bagi kemenangan dan kebangkitan Partai Demokrat di Provinsi Jawa Timur.
1592473178949169152;2022-11-15 11:02:47+00:00;183;"Selepas pelantikan pengurus DPC se-@JatimDemokrat, saya menghadiri pengukuhan 39 anggota @SrikandiPD Jatim. Selaku Ketum DPP @PDemokrat , saya doakan semoga para Srikandi Demokrat Jatim bisa turut berpartisipasi dlm perjuangan partai &amp; selalu membantu kaum perempuan di Jatim."
1592116439020081152;2022-11-14 11:25:13+00:00;151;Terima kasih Mas Ali, selamat Milad untuk Beksi Akar Pinang, Pentas Seni Silat Tradisional. Semoga budaya Betawi bisa terus berkembang dan dilestarikan oleh generasi muda penerus bangsa. https://t.co/wyy5uNf9iE
1592116257285107712;2022-11-14 11:24:30+00:00;112;Terima kasih Bu Afni, semoga bantuan yang diberikan dapat bermanfaat dan menjadi berkah untuk semuanya. Salam saya utk para pengurus Masjid Nurul Dzolam dan anak2 disana https://t.co/oowg8uXA7Y
1592058351617478657;2022-11-14 07:34:24+00:00;84;Kepada seluruh pengurus DPC yang dilantik, saya ucapkan selamat dan jangan lupa untuk terus bergerak dan memanaskan mesin partai kita sampai tingkat yang paling bawah. Semoga 2024 menjadi momen kebangkitan Partai Demokrat! 💪🏻
1592058349314768896;2022-11-14 07:34:24+00:00;678;Kemarin, saya melantik seluruh struktur kepengurusan DPC dari 38 Kab/Kota se Jawa Timur di Kota Batu. Ini adl pelantikan serentak DPC yg kelima, stlh sebelumnya saya melantik seluruh DPC di Jateng, DIY, Banten dan DKI Jakarta. InsyaAllah, akan berlanjut lagi ke provinsi lainnya. https://t.co/J7XlOFCkPp
1591613552993128449;2022-11-13 02:06:56+00:00;217;Hari minggu ini saya akan berkegiatan di Surabaya untuk bersilaturahmi sekaligus melantik para pengurus DPC se-@JatimDemokrat dan @SrikandiPD. Meskipun weekend, semangat harus tetap weekdays. 😁 Mohon doanya agar semua kegiatan berjalan lancar. Aamiin
1591342297391988737;2022-11-12 08:09:04+00:00;1069;Kembali ke tanah air. Yang pertama di cari Nasi Padang 👍 https://t.co/m8mEjcazKO
1591303795379957761;2022-11-12 05:36:04+00:00;92;Selamat Hari Ayah Nasional, untuk semua ayah yg terus berjuang jadi yg terbaik untuk keluarga.
1591303792615895041;2022-11-12 05:36:03+00:00;489;"""God took the strength of a mountain, the patience of eternity, combined them to create a person we call dad""
Terima kasih Pepo atas cinta &amp; kasih sayang yg diberikan. Pepo menginspirasiku utk berusaha jadi yg terbaik utk Almira. https://t.co/S5n98J8i8P"
1590961409948798977;2022-11-11 06:55:33+00:00;313;Kemudian, bagi teman2 pelaku UMKM yang produknya ingin dipromosikan atau produknya sedang mengikuti promo 11.11, silahkan reply tweet ini. Insya Allah akan saya bantu retweet. Semangat terus teman2, semoga sukses selalu
1590961253325111297;2022-11-11 06:54:56+00:00;330;Di hari #jumatberkah kali ini, toko Aku Demokrat sedang mengadakan big sale dengan deretan promo menarik utk pembeliaan produk2 official Marchandise Demokrat. Silahkan kunjungi akun media sosial atau e-commerce-nya. Selamat berbelanja teman2! https://t.co/4Hud4RYLVn
1590687419858571265;2022-11-10 12:46:49+00:00;523;Selamat Hari Pahlawan untuk seluruh pejuang Negara Kesatuan Republik Indonesia. Sebagai generasi penerus, mari kita jaga dan rawat persatuan dan kesatuan ini menuju Indonesia Emas 2045. https://t.co/Zv6S6IZgeY
