ID;Datetime;Username;Content
1595764172138110976;2022-11-24 13:00:01+00:00;SeputariNews;"Di tengah minimnya fasilitas posko pengungsian korban gempa Cianjur. Seorang ibu yang tengah hamil tua melahirkan bayi perempuan dengan selamat.

#SeputariNewsRCTI #SeputariNewsSiang #Bayi #RidwanKamil https://t.co/jKUJ3NkOq6"
1595760393443491840;2022-11-24 12:45:00+00:00;VideoTRIBUN;"Ridwan Kamil Blusukan ke Korban Gempa Cianjur, Naik Motor Sendiri dan Berjalan di Reruntuhan
#beritaterkini #beritaViral #gempacianjur #ridwankamil #blusukan
https://t.co/KcV2jyw24F"
1595759135261196289;2022-11-24 12:40:00+00:00;VideoTRIBUN;"Ridwan Kamil Blusukan ke Korban Gempa Cianjur, Naik Motor Sendiri dan Berjalan di Reruntuhan
Selengkapnya: https://t.co/FGWhkbHTQa

#beritaterkini #beritaViral #ridwankamil #GempaCianjur #gempabumicianjur #gubernurjabar https://t.co/SwXLh0nYl8"
1595750342079414272;2022-11-24 12:05:03+00:00;jpnncom;Ridwan Kamil Resmikan Tugu Sekolah, Jabar Siap Implementasikan Pendidikan Berkarakter #RidwanKamil https://t.co/VfS5DncHmH
1595741852099280896;2022-11-24 11:31:19+00:00;Lintas_MNCTV;"Ridwan Kamil memberikan nama untuk bayi yang baru lahir di tenda pengungsian korban gempa di Cianjur. GIN

#MNCTV #LintasiNewsMNCTV #RidwanKamil #GempaCianjur #Cianjur #JawaBarat #BencanaAlam #Pengungsian https://t.co/EtNggvzYrx"
1595739683736399872;2022-11-24 11:22:42+00:00;pikobar_jabar;"Sementara itu, Kementerian Kesehatan telah mengeluarkan tata laksana penggunaan vaksin Indovac.

Sumber : @indonesiabaik.id

#Pikobar #PikoCampaign #JabarJuara #RidwanKamil #VaksinHarusLengkap #PakaiMasker #CepatVaksin #SayaPilihSehat #vaksincovid19 #ayovaksin"" https://t.co/q3FUY8drSm"
1595723079904206848;2022-11-24 10:16:44+00:00;RK_JabarJuara;"#rkjabarjuara #jabarjuara #indonesiajuara #rkjabar #kangemil #ridwankamil #bantuan #donasi #relawan #bencana #bencanaalam #cianjur #jawabarat #jabar #kabupatencianjur #gempa #gempacianjur #gempabumi #oknum #jabarquickresponse

@ridwankamil"
1595722435508293632;2022-11-24 10:14:10+00:00;RK_JabarJuara;"#rkjabarjuara #rkjabar #jabarjuara #indonesiajuara #ridwankamil #kangemil #bencana #bencanaalam #siagabencana #jawabarat #jabar #tas #cianjur #gempacianjur 

@ridwankamil"
1595703028858130435;2022-11-24 08:57:03+00:00;insideindo_id;"This one will pada, stay safe everyone 🥺

📷 @jokowi 

#prayforcianjur😭😭😭😭 #prayforcianjur #cianjurselatan #infocianjur #cianjur24 #presidenjokowi #jokowi  #jokowidodo  #ridwankamil #kangemil #infojabar #jabar24jam #fypage #indonesiaku #prayforcianjur🎗️ #prayforcianjur2022 https://t.co/AgFkyYEVCN"
1595690604373344256;2022-11-24 08:07:41+00:00;NettyRosMiatyR2;"Negara hadir disaat warganya mendapat musibah.😢
Semoga para pemimpin Indonesia senantiasa diberikan kesehatan dan lindungan Allah SWT.

@jokowi @ridwankamil @kapolri_indonesia @dudung_abdurachman #SahabatRK #RelawanSahabatRK #RidwanKamil #pplhiupdate_2016 #pplhiupdate_2020 https://t.co/6qjx6t9BgY"
1595686597554733057;2022-11-24 07:51:45+00:00;ArnitaWidi;"Tiada Duka yang Abadi di dunia.
Semoga saudara-saudara kita di Cianjur korban bencana gempa segera hidup kembali normal harus semangat dan optimis menjalani kehidupan kedepannya.
#pplhiupdate_2016 #pplhiupdate_2020 #SahabatRK  #RelawanSahabatRK #ridwankamil #IndonesiaJuara https://t.co/ycOTfQ8BQ8"
1595683461016457216;2022-11-24 07:39:18+00:00;ArnitaWidi;"Negara hadir disaat warganya mendpt musibah. Smg para pemimpin Indonesia senantiasa diberikan kesehatan, lindungan Tuhan YME
@jokowi @ridwankamil @kapolri_indonesia @dudung_abdurachman #SahabatRK #RelawanSahabatRK #RidwanKamil #pplhiupdate_2016 #pplhiupdate_2020 #IndonesiaJuara https://t.co/2VeMip3KLf"
1595681754899161091;2022-11-24 07:32:31+00:00;NormanPplhi;"Tiada Duka yang Abadi di dunia.

Semoga saudara-saudara kita di Cianjur korban bencana gempa segera hidup kembali normal dan beraktivitas,  semua dipasrahkan hanya pada Allah SWT.

#pplhiupdate_2016 #pplhiupdate_2020 #SahabatRK  #RelawanSahabatRK #ridwankamil #IndonesiaJuara https://t.co/XqPJGX7qX1"
1595681480797466628;2022-11-24 07:31:26+00:00;Pplhiupdate2016;"Tiada Duka yang Abadi di dunia.

Semoga saudara-saudara kita di Cianjur korban bencana gempa segera hidup kembali normal dan beraktivitas,  semua dipasrahkan hanya pada Allah SWT.

#pplhiupdate_2016 #pplhiupdate_2020 #SahabatRK  #RelawanSahabatRK #ridwankamil #IndonesiaJuara https://t.co/CLTfCwy2lG"
1595680527100432384;2022-11-24 07:27:38+00:00;RK_JabarJuara;"#rkjabarjuara #jabarjuara #rkjabar #indonesiajuara #ridwankamil #kangemil #cianjur #gempa #bencanaalam #gempacianjur #jawabarat #jabar #korban #donasi #bantuan 

@ridwankamil"
1595679364641099776;2022-11-24 07:23:01+00:00;ArnitaWidi;"Kunjungan dan Bantuan Pplhi dan Sahabat RK bagi korban Bencana Gempa Cianjur. 

@ridwankamil @jokowi @h.hermansuherman @kemensosri @bnpb_indonesia #SahabatRK #RelawanSahabatRK #pplhiupdate_2020 #pplhiupdate_2016 #IndonesiaJuara #ridwankamil https://t.co/5ettz2B4dY"
1595678733452836865;2022-11-24 07:20:30+00:00;selviaipeh02;"Penaganan Gempa Cianjur ! Gubernur Jabar Tugaskan Kepala Dinas Jadi Bapak Asuh di Kecamatan - https://t.co/bbJG6IzCVf 
#BAPAKASUHKORBANGEMPACIANJUR #GUBERNURJABAR #KANGEMIL #KEPALADINASPEMPROVJABAR #PenangananPascaGempa #RIDWANKAMIL #SUPLAIBANTUAN"
1595678561750650880;2022-11-24 07:19:50+00:00;dinilatifah1110;"Check out this article: Penaganan Gempa Cianjur ! Gubernur Jabar Tugaskan Kepala Dinas Jadi Bapak Asuh di Kecamatan - https://t.co/diXjXySFMY 
#BAPAKASUHKORBANGEMPACIANJUR #GUBERNURJABAR #KANGEMIL #KEPALADINASPEMPROVJABAR #PenangananPascaGempa #RIDWANKAMIL #SUPLAIBANTUAN"
1595677240590831617;2022-11-24 07:14:35+00:00;dkpp_jabar;"Pemurnian merupakan suatu upaya untuk meningkatkan homozigositas dan menurunkan heterozigositas, dimana 75-80% merupakan target murni sapi pasundan. Saat ini sudah mencapai 70% dari kelompok F2B.

#DKPPJabar #JabarJuara #RidwanKamil #IndonesiaJuara @ridwankamil @humasjabar https://t.co/ozqzTwDqwm"
1595673696790011905;2022-11-24 07:00:30+00:00;dkpp_jabar;"Hari ini kami melakukan aktif service monitoring dan evaluasi kesehatan ternak untuk mendeteksi adanya penyakit Brucellosis dan Parasit darah. 

#DKPPJabar #JabarJuara #RidwanKamil #IndonesiaJuara @ridwankamil @humasjabar @jabarprovgoid https://t.co/obAveRDvFt"
1595673574945263618;2022-11-24 07:00:01+00:00;MNCupdate;"Gubernur Jawa Barat Ridwan Kamil mengonfirmasikan ada sebanyak 162 korban yang meninggal dunia akibat gempa merusak yang terjadi di Kabupaten Cianjur, Jawa Barat, Senin.
#GempaCianjur #GempaBumi #GubernurJawaBarat #RidwanKamil #KorbanGempaBumi #HotNews #MNCUpdate https://t.co/IUXJkrkkJI"
1595660804812046336;2022-11-24 06:09:16+00:00;bpsbjabar;"Jangan lupa kunjungi medsos kami yaa :
YouTube, IG &amp; Twitter : @bpsbjabar

@ridwankamil
@ruzhanul
@swangsaatmaja
@dadanhidayat29
@yantihidyatun
@distanhortijabar

#BPSBJabar #JabarJuara #RidwanKamil #UuRuzhanulUlum #Pertanian #WestJava #Benih #BenihJuara #IndonesiaJuara"
1595656894705995778;2022-11-24 05:53:44+00:00;DedeSudrajat64;"Negara hadir disaat warganya mendapat musibah.😢
Semoga para pemimpin Indonesia senantiasa diberikan kesehatan dan lindungan Allah SWT.

@jokowi @ridwankamil @kapolri_indonesia  #SahabatRK #RelawanSahabatRK #RidwanKamil #pplhiupdate_2016 #pplhiupdate_2020 #IndonesiaJuara https://t.co/GfnSuSiCgK"
1595652656562728960;2022-11-24 05:36:53+00:00;DedeSudrajat64;"Kunjungan dan Bantuan Pplhi dan Sahabat RK bagi korban Bencana Gempa Cianjur. 

@ridwankamil @jokowi @h.hermansuherman @kemensosri @bnpb_indonesia #SahabatRK #RelawanSahabatRK #pplhiupdate_2020 #pplhiupdate_2016 #IndonesiaJuara #ridwankamil https://t.co/Ja7fEHAfyC"
1595652192421265409;2022-11-24 05:35:03+00:00;jpnncom;Pemprov Jabar Siapkan Duit Rp 20 Miliar untuk Dana Tanggap Darurat Gempa Cianjur #RidwanKamil https://t.co/2hUaL88R4I
1595650831747252224;2022-11-24 05:29:38+00:00;OdoyTea20;"Negara hadir disaat warganya mendapat musibah.😢
Semoga para pemimpin Indonesia diberikan kesehatan dan lindungan Allah SWT.

@jokowi @ridwankamil @kapolri_indonesia @dudung_abdurachman #SahabatRK #RelawanSahabatRK #RidwanKamil #pplhiupdate_2016 #pplhiupdate_2020 #IndonesiaJuara https://t.co/ooy0esrWi2"
1595647456838287361;2022-11-24 05:16:14+00:00;RK_JabarJuara;"hitam tersebut  menandakan bahwa acara Kongres Pemda Se-Asia Timur tetap mengedepankan rasa simpati yang mendalam terhadap musibah gempa bumi di Kabupaten Cianjur.
.
#RidwanKamil #RKJabarJuara #JabarJuara #IndonesiaJuara https://t.co/uhPpteqdkr"
1595647058316513281;2022-11-24 05:14:39+00:00;sukarti_eti;"Negara hadir disaat warganya mendapat musibah.😢
Semoga para pemimpin Indonesia senantiasa diberikan kesehatan dan lindungan Allah SWT.

@jokowi @ridwankamil @kapolri_indonesia @dudung_abdurachman #SahabatRK #RelawanSahabatRK #RidwanKamil #pplhiupdate_2016 #pplhiupdate_2020 # https://t.co/jsv6OHPlKH"
1595637972116074496;2022-11-24 04:38:32+00:00;OdoyTea20;"Kunjungan dan Bantuan Pplhi dan Sahabat RK  kemasyarakat desa Cicendil Kec. Cugeunang di Posko Joglo Cianjur.

@ridwankamil @jokowi @h.hermansuherman @kemensosri @bnpb_indonesia #SahabatRK #RelawanSahabatRK #pplhiupdate_2020 #pplhiupdate_2016 #IndonesiaJuara #ridwankamil https://t.co/BEbgkMz1kt"
1595637843183140865;2022-11-24 04:38:01+00:00;jpnncom;"#BeritaJabar
Ridwan Kamil Pastikan Biaya Perawatan Medis Korban Gempa Dibayar Pemerintah
@ridwankamil 
#ridwankamil
#biayarumahsakit 
#gempacianjur 
https://t.co/aakKFt8Csf"
1595635729882816513;2022-11-24 04:29:38+00:00;Pplhiupdate2016;"Kunjungan dan Bantuan Pplhi dan Sahabat RK bagi korban Bencana Gempa Cianjur.

@ridwankamil @jokowi @kemensosri @bnpb_indonesia #SahabatRK #RelawanSahabatRK #pplhiupdate_2020 #pplhiupdate_2016 #IndonesiaJuara #ridwankamil https://t.co/gwanRSVlvo"
1595635451314188290;2022-11-24 04:28:31+00:00;NormanPplhi;"Kunjungan dan Bantuan Pplhi dan Sahabat RK bagi korban Bencana Gempa Cianjur. 

@ridwankamil @jokowi @kemensosri @bnpb_indonesia #SahabatRK #RelawanSahabatRK #pplhiupdate_2020 #pplhiupdate_2016 #IndonesiaJuara #ridwankamil https://t.co/4hXFweXAaQ"
1595634313147854849;2022-11-24 04:24:00+00:00;RK_JabarJuara;"videonya sebagai pengetahuan baru, ya!
.
#Ridwankamil #RKJabarjuara #JabarJuara #IndonesiaJuara #serbaserbi #taukahwargi #patungkuda"
1595630987991347200;2022-11-24 04:10:47+00:00;dyhbuya75;"Kunjungan dan Bantuan Pplhi dan Sahabat RK bagi korban Bencana Gempa Cianjur. Desa Cicendil Kec. Cugeunang di Posko Joglo Cianjur.
@ridwankamil @jokowi @kemensosri #SahabatRK #RelawanSahabatRK #pplhiupdate_2020 #pplhiupdate_2016 #IndonesiaJuara #pplhipeduli #ridwankamil https://t.co/12oQlnCLPa"
1595623255011782659;2022-11-24 03:40:03+00:00;jpnncom;Ridwan Kamil Pastikan Biaya Perawatan Medis Korban Gempa Dibayar Pemerintah #RidwanKamil https://t.co/aakKFtpFuf
