id,dateTime,likes,content,clean_text,clean_text_stem
1581253609479553028,2022-10-15 12:00:13+00:00,2999,"Terima kasih kepada seluruh perangkat RT/RW, Anggota LMK, Dewan Kota/Kabupaten, dan Kader PKK se-DKI Jakarta!

Ibu/ Bapak adalah pemimpin yang sesungguhnya, yang berada di paling depan bersama masyarakat setiap hari.

#JakartaKotaGlobal
#TerimaKasihJakarta https://t.co/FO4qwtLWW0",terima kasih perangkat rtrw anggota lmk dewan kotakabupaten kader pkk sedki jakarta pemimpin sesungguhnya masyarakat,terima kasih perangkat rtrw anggota lmk dewan kotakabupaten kader pkk sedki jakarta pimpin sungguh masyarakat
1581193181869137920,2022-10-15 08:00:06+00:00,2947,"Terima kasih kepada para Jurnalis Balaikota!

Kami bersyukur bisa menuntaskan satu periode di Jakarta bersama teman-teman. Terima kasih atas perannya selama ini dalam menyebarluaskan dan mengawal kerja-kerja Pemprov DKI Jakarta.

#JakartaKotaGlobal
#TerimaKasihJakarta https://t.co/yuFyknRAaU",terima kasih jurnalis balaikota bersyukur menuntaskan periode jakarta temanteman terima kasih perannya menyebarluaskan mengawal kerjakerja pemprov dki jakarta,terima kasih jurnalis balaikota syukur tuntas periode jakarta temanteman terima kasih peran menyebarluaskan awal kerjakerja pemprov dki jakarta
1581163004241924098,2022-10-15 06:00:11+00:00,4420,"Lima tahun bertugas di Jakarta telah memberikan pengalaman yang luar biasa. Spektrum yang diurusi Pemprov DKI Jakarta begitu banyak, kami bersyukur didukung kerjasama dari Forkompimda, Legislatif dan Lembaga Pemerintah Pusat, terutama di masa-masa pandemi.

#TerimaKasihJakarta https://t.co/zWZspHWwnR",tahun bertugas jakarta pengalaman spektrum diurusi pemprov dki jakarta bersyukur didukung kerjasama forkompimda legislatif lembaga pemerintah pusat masamasa pandemi,tahun tugas jakarta alam spektrum urus pemprov dki jakarta syukur dukung kerjasama forkompimda legislatif lembaga perintah pusat masamasa pandemi
1581134447029542912,2022-10-15 04:06:42+00:00,5694,"Terima kasih kepada seluruh petugas lapangan DKI Jakarta!

Jakarta bisa menjadi kota global, karena kerja keras Ibu/Bapak semuanya. Kami merasa bersyukur, bangga, dan terhormat bisa bekerja bersama selama lima tahun ini.

#TerimaKasihJakarta https://t.co/tzBVYbRCaK",terima kasih petugas lapangan dki jakarta jakarta kota global keras ibubapak bersyukur bangga terhormat tahun,terima kasih tugas lapang dki jakarta jakarta kota global keras ibubapak syukur bangga hormat tahun
1581108130011697153,2022-10-15 02:22:08+00:00,5041,"Terima kasih kepada Para Walikota/Bupati, Camat, Lurah, Dan Ketua Tim Penggerak PKK Se-Provinsi DKI Jakarta!

Kami titipkan segala hasil pembangunan kota ini untuk dirawat, dijaga dan dilanjutkan transformasinya dalam mewujudkan Jakarta sebagai kota global.

#TerimaKasihJakarta https://t.co/IyNOTzC7cu",terima kasih walikotabupati camat lurah ketua tim penggerak pkk seprovinsi dki jakarta titipkan hasil pembangunan kota dirawat dijaga dilanjutkan transformasinya mewujudkan jakarta kota global,terima kasih walikotabupati camat lurah ketua tim gerak pkk provinsi dki jakarta titip hasil bangun kota rawat jaga lanjut transformasi wujud jakarta kota global
1580953709122494465,2022-10-14 16:08:31+00:00,8203,"Berkumpul bersama ASN DKI Jakarta, hari terakhir berkantor di Balai Kota. Lima tahun perjalanan yg penuh dengan kesan dan kenangan. Lima tahun kita menangani banyak tantangan. Lima tahun kita juga meraih banyak capaian.

Terima kasih ASN Pemprov DKI Jakarta!

#TerimaKasihJakarta https://t.co/ATITr5ucjC",berkumpul asn dki jakarta berkantor balai kota tahun perjalanan penuh kesan kenangan tahun menangani tantangan tahun meraih capaian terima kasih asn pemprov dki jakarta,kumpul asn dki jakarta kantor balai kota tahun jalan penuh kesan kenang tahun tangan tantang tahun raih capai terima kasih asn pemprov dki jakarta
1580815700913897472,2022-10-14 07:00:07+00:00,9023,"Jumat kemarin adalah salat subuh berjamaah terakhir di rumah dinas. Dengan berakhirnya tugas, kami sekaligus mohon pamit kepada MUI DKI Jakarta, para tokoh agama, alim ulama dan habaib. Kami bersyukur selama lima tahun terakhir kita berkerja bersama, menghadirkan persatuan. https://t.co/7siPaenI2R",jumat kemarin salat subuh berjamaah rumah dinas tugas pamit mui dki jakarta tokoh agama alim ulama habaib bersyukur tahun berkerja menghadirkan persatuan,jumat kemarin salat subuh jamaah rumah dinas tugas pamit mui dki jakarta tokoh agama alim ulama habaib syukur tahun kerja hadir satu
1580773224614227968,2022-10-14 04:11:20+00:00,5146,"Hari kerja terakhir di Balaikota, masih banyak yang bisa dilakukan. Kemarin memimpin Rapat Koordinasi Tim Koordinasi Penanggulangan Kemiskinan (TKPK) Provinsi DKI Jakarta.

Gubernur boleh berganti, tapi kerja Pemprov DKI Jakarta untuk masyarakat tidak boleh berhenti. https://t.co/AIeoLU1XWz",balaikota kemarin memimpin rapat koordinasi tim koordinasi penanggulangan kemiskinan tkpk provinsi dki jakarta gubernur berganti pemprov dki jakarta masyarakat berhenti,balaikota kemarin pimpin rapat koordinasi tim koordinasi tanggulang miskin tkpk provinsi dki jakarta gubernur ganti pemprov dki jakarta masyarakat henti
1580755330362851328,2022-10-14 03:00:14+00:00,2930,"Kemarin bersilaturahmi ke perwakilan umat Buddha Jakarta di Wihara Ekayana.

Terima kasih yang sebesar-besarnya kepada WALUBI DKI Jakarta dan seluruh umat Buddha Jakarta yang telah ikut mewujudkan persatuan di Ibukota. https://t.co/xyt2ynalJq",kemarin bersilaturahmi perwakilan umat buddha jakarta wihara ekayana terima kasih sebesarbesarnya walubi dki jakarta umat buddha jakarta mewujudkan persatuan ibukota,kemarin silaturahmi wakil umat buddha jakarta wihara ekayana terima kasih sebesarbesarnya walubi dki jakarta umat buddha jakarta wujud satu ibukota
1580735008142024705,2022-10-14 01:39:29+00:00,746,Taman Makam Tokoh Bangsa. https://t.co/ZFYJ5vILLk,taman makam tokoh bangsa,taman makam tokoh bangsa
