,id,dateTime,userName,content,clean_text,clean_text_stem
315,1599717457433796608,2022-12-05 10:48:57+00:00,garuda_08PS,"“Perjuangan kita bersama untuk mewujudkan cita-cita proklamasi bangsa, pendiri bangsa dan suku-suku di seluruh nusantara yang ingin rakyatnya punya harga diri, ingin hidup dengan kesejahteraan dan kemakmuran,” pungkas Prabowo. #Prabowo #kerjasama",“perjuangan mewujudkan citacita proklamasi bangsa pendiri bangsa sukusuku nusantara rakyatnya harga hidup kesejahteraan kemakmuran” pungkas prabowo,juang wujud citacita proklamasi bangsa diri bangsa sukusuku nusantara rakyat harga hidup sejahtera makmur pungkas prabowo
316,1599717445425541120,2022-12-05 10:48:54+00:00,oppengers1,"yang berlangsung pada 12-13 November 2022 di sela-sela pelaksanaan Konferensi Tingkat Tinggi (KTT) Group of (G20) di Bali.

#Prabowo #kerjasama",november selasela pelaksanaan konferensi tingkat tinggi ktt group of bali,november selasela laksana konferensi tingkat tinggi ktt group of bal
317,1599717437448278016,2022-12-05 10:48:53+00:00,genx36545403,"Wah ini bagus ini..mesti di galakkan

#Prabowo #kerjasama https://t.co/BvZXQ6si71",bagus inimesti galakkan,bagus inimesti galak
318,1599717419303731200,2022-12-05 10:48:48+00:00,MashaNdeber,"Maung, sebuah kendaraan taktis atau rantis 4x4 terbaru buatan PT Pindad mendadak jadi perbincangan masyarakat setelah Menteri Pertahanan Prabowo Subianto memborong 500 unit kendaraan tersebut untuk Kementerian Pertahanan.
#Prabowo 
#kerjasama",maung kendaraan taktis rantis terbaru buatan pt pindad mendadak perbincangan masyarakat menteri pertahanan prabowo subianto memborong unit kendaraan kementerian pertahanan,maung kendara taktis rantis baru buat pt pindad dadak bincang masyarakat menteri tahan prabowo subianto borong unit kendara menteri tahan
319,1599717417352974336,2022-12-05 10:48:48+00:00,oppengers1,"Untuk diketahui, Global Food Security Forum merupakan kerja sama antara The Gaurav dan Sharon Srivastava Family Foundation, Kementerian Pertahanan Republik Indonesia (RI), dan Kementerian Koordinator Bidang Kemaritiman dan Investasi RI 

#Prabowo #kerjasama",global food security forum the gaurav sharon srivastava family foundation kementerian pertahanan republik indonesia ri kementerian koordinator bidang kemaritiman investasi ri,global food security forum the gaurav sharon srivastava family foundation menteri tahan republik indonesia ri menteri koordinator bidang maritim investasi ri
320,1599717392153616384,2022-12-05 10:48:42+00:00,oppengers1,"Selain Menhan Prabowo, hadir dalam forum tersebut adalah Menteri Koordinator Kemaritiman dan Investasi (Menteri Kemaritiman) Luhut Binsar Pandjaitan secara virtual dan Menteri Pertanian (Mentan) Syahrul Yasin Limpo.

#Prabowo #kerjasama",menhan prabowo hadir forum menteri koordinator kemaritiman investasi menteri kemaritiman luhut binsar pandjaitan virtual menteri pertanian mentan syahrul yasin limpo,menhan prabowo hadir forum menteri koordinator maritim investasi menteri maritim luhut binsar pandjaitan virtual menteri tani tan syahrul yasin limpo
321,1599717366576783362,2022-12-05 10:48:36+00:00,oppengers1,"“Hal ini adalah penting, forum ini sangat penting untuk memberi pengetahuan kepada para elit politik dan pimpinan negara untuk bekerja sama dengan pihak swasta dalam menghadapi ketahanan pangan,” tegasnya. 

#Prabowo #kerjasama",“hal forum pengetahuan elit politik pimpinan negara swasta menghadapi ketahanan pangan”,hal forum tahu elit politik pimpin negara swasta hadap tahan pangan
322,1599717345307422720,2022-12-05 10:48:31+00:00,oppengers1,"Terkait Global Food Security Forum, Prabowo pun mengatakan, forum ini dapat memberikan pemahaman mengenai ketahanan pangan dari sudut pandang Indonesia dan dunia. 

#Prabowo #kerjasama",terkait global food security forum prabowo forum pemahaman ketahanan pangan sudut pandang indonesia dunia,kait global food security forum prabowo forum paham tahan pangan sudut pandang indonesia dunia
323,1599717335522488320,2022-12-05 10:48:28+00:00,adelarpakkuraga,"Prabowo
#Prabowo 
#kerjasama https://t.co/7g7q6eyANX",prabowo,prabowo
324,1599717322272276480,2022-12-05 10:48:25+00:00,garuda_08PS,"Menurut Prabowo bentuk setia kepada bangsa dan rakyat adalah berjuang tanpa henti.
Ia pun mengajak para kader Partai Gerindra untuk bersama-sama mewujudkan cita-cita para pendahulu yang menginginkan kesejahteraan rakyat. #Prabowo #kerjasam",prabowo bentuk setia bangsa rakyat berjuang henti mengajak kader partai gerindra bersamasama mewujudkan citacita pendahulu kesejahteraan rakyat,prabowo bentuk setia bangsa rakyat juang henti ajak kader partai gerindra bersamasama wujud citacita dahulu sejahtera rakyat
325,1599717318149361664,2022-12-05 10:48:24+00:00,oppengers1,"“Itulah tantangan kita untuk bisa mencapai target nol kelaparan, yang merupakan Tujuan Pembangunan Berkelanjutan atau Sustainable Development Goals (SDGs) Nomor 2, sebuah tujuan yang harus kita cita-citakan,” ujarnya. 

#Prabowo #kerjasama",“itulah tantangan mencapai target nol kelaparan tujuan pembangunan berkelanjutan sustainable development goals sdgs nomor tujuan citacitakan”,itu tantang capai target nol lapar tuju bangun lanjut sustainable development goals sdgs nomor tuju citacitakan
326,1599717294208229376,2022-12-05 10:48:18+00:00,oppengers1,"Prabowo menjelaskan, tantangan yang dihadapi dunia saat ini adalah hanya ada beberapa negara yang memiliki kecukupan pasokan protein dan kalori. 

#Prabowo #kerjasama",prabowo tantangan dihadapi dunia negara memiliki kecukupan pasokan protein kalori,prabowo tantang hadap dunia negara milik cukup pasok protein kalori
327,1599717268727820288,2022-12-05 10:48:12+00:00,oppengers1,"“Apakah kita ingin menyelesaikan konflik atau tidak? Jika kita tidak menyelesaikan konflik, kita memasuki wilayah yang sangat berbahaya dan zona waktu yang berbahaya,” tambah Prabowo, dikutip dari https://t.co/taWt4MAjT5, Minggu (13/11/2022). 

#Prabowo #kerjasama",“apakah menyelesaikan konflik menyelesaikan konflik memasuki wilayah berbahaya zona waktu berbahaya” prabowo dikutip minggu,apakah selesai konflik selesai konflik pasuk wilayah bahaya zona waktu bahaya prabowo kutip minggu
328,1599717243549454336,2022-12-05 10:48:06+00:00,oppengers1,"Soal ini itu. Tetapi, yang lebih penting adalah kesatuan, kekompakan, kemampuan antarelite nasional dan internasional untuk bekerja sama,"" ujar Prabowo. 

#Prabowo #kerjasama",kesatuan kekompakan kem uan antarelite nasional internasional prabowo,satu kompak kem uan antarelite nasional internasional prabowo
329,1599717236419493889,2022-12-05 10:48:05+00:00,adelarpakkuraga,"Prabowo
#Prabowo 
#kerjasama 

Selalu mendorong Kader nya untuk bersama rakyat walaupun tidak ada pemilihan umum,pileg atau pesta demokrasi lainnya https://t.co/pIOThJgkcQ",prabowo mendorong kader rakyat pemilihan umumpileg pesta demokrasi,prabowo dorong kader rakyat pilih umumpileg pesta demokrasi
330,1599717221520924672,2022-12-05 10:48:01+00:00,oppengers1,"Pasalnya, kelaparan akut saat ini tengah melanda berbagai negara yang salah satunya diakibatkan konflik antarnegara. “Memecahkan kerawanan pangan, ya, soal bibit, soal teknologi. 

#Prabowo #kerjasama",pasalnya kelaparan akut tengah melanda negara salah satunya diakibatkan konflik antarnegara “memecahkan kerawanan pangan bibit teknologi,pasal lapar akut tengah landa negara salah satu akibat konflik antarnegara pecah rawan pangan bibit teknologi
331,1599717215430852609,2022-12-05 10:48:00+00:00,garuda_08PS,"“Jangan setia pada orang, tapi setialah pada nilai perjuangan yang lebih besar,” kata Prabowo.
Perjuangan yang dimaksud Menteri Pertahanan (Menhan) ini adalah mengutamakan bangsa dan rakyat. Sebab, pemimpin yang memiliki itikad baik akan terasa di hati rakyat.
#Prabowo #kerjasama",“jangan setia setialah nilai perjuangan besar” prabowo perjuangan menteri pertahanan menhan mengutamakan bangsa rakyat pemimpin memiliki itikad hati rakyat,jangan setia setia nilai juang besar prabowo juang menteri tahan menhan utama bangsa rakyat pimpin milik itikad hati rakyat
